Experiment,Feature_Count,LR_Accuracy,LR_F1_Score,LR_ROC_AUC,RF_Accuracy,RF_F1_Score,RF_ROC_AUC
Exp 1: Environmental Only,17,0.5200 ± 0.1067,0.4720 ± 0.1004,0.5808 ± 0.0963,0.5533 ± 0.0686,0.5015 ± 0.0552,0.5872 ± 0.0402
Exp 2: Env + Operational,26,0.5267 ± 0.0573,0.4967 ± 0.0519,0.6076 ± 0.0768,0.5800 ± 0.0499,0.5194 ± 0.0485,0.6732 ± 0.0460
Exp 3: Env + Op + Historical,32,0.6067 ± 0.0904,0.5923 ± 0.0969,0.7097 ± 0.0479,0.6000 ± 0.0699,0.5361 ± 0.0700,0.6931 ± 0.0469
Exp 4: Full Multi-Modal System,42,0.7400 ± 0.1062,0.7296 ± 0.1001,0.8755 ± 0.1002,0.6200 ± 0.0653,0.5474 ± 0.0843,0.7549 ± 0.0568
